trial,eu_id,plot_id,trt_id
Trial1,1,b1_101_n_d,p
Trial1,2,b1_101_s_y,p
Trial1,3,b1_102_n_d,xaprows
Trial1,4,b1_102_s_y,xaprows
Trial1,5,b1_103_n_d,pcc
Trial1,6,b1_103_s_y,pcc
Trial1,7,b1_104_n_d,xa
Trial1,8,b1_104_s_y,xa
Trial1,9,b1_105_n_d,a
Trial1,10,b1_105_s_y,a
Trial1,11,b1_106_n_d,aprows
Trial1,12,b1_106_s_y,aprows
Trial1,13,b1_107_n_d,xacc
Trial1,14,b1_107_s_y,xacc
Trial1,15,b1_108_n_d,xapmix
Trial1,16,b1_108_s_y,xapmix
Trial1,17,b1_109_n_d,apmix
Trial1,18,b1_109_s_y,apmix
Trial1,19,b1_110_n_d,acc
Trial1,20,b1_110_s_y,acc
Trial1,21,b1_111_n_d,xp
Trial1,22,b1_111_s_y,xp
Trial1,23,b1_112_n_d,xpcc
Trial1,24,b1_112_s_y,xpcc
Trial1,25,b2_201_n_d,apmix
Trial1,26,b2_201_s_y,apmix
Trial1,27,b2_202_n_d,a
Trial1,28,b2_202_s_y,a
Trial1,29,b2_203_n_d,xaprows
Trial1,30,b2_203_s_y,xaprows
Trial1,31,b2_204_n_d,xacc
Trial1,32,b2_204_s_y,xacc
Trial1,33,b2_205_n_d,pcc
Trial1,34,b2_205_s_y,pcc
Trial1,35,b2_206_n_d,xapmix
Trial1,36,b2_206_s_y,xapmix
Trial1,37,b2_207_n_d,xp
Trial1,38,b2_207_s_y,xp
Trial1,39,b2_208_n_d,acc
Trial1,40,b2_208_s_y,acc
Trial1,41,b2_209_n_d,p
Trial1,42,b2_209_s_y,p
Trial1,43,b2_210_n_d,xpcc
Trial1,44,b2_210_s_y,xpcc
Trial1,45,b2_211_n_d,xa
Trial1,46,b2_211_s_y,xa
Trial1,47,b2_212_n_d,aprows
Trial1,48,b2_212_s_y,aprows
Trial1,49,b3_301_n_d,aprows
Trial1,50,b3_301_s_y,aprows
Trial1,51,b3_302_n_d,acc
Trial1,52,b3_302_s_y,acc
Trial1,53,b3_303_n_d,xp
Trial1,54,b3_303_s_y,xp
Trial1,55,b3_304_n_d,xpcc
Trial1,56,b3_304_s_y,xpcc
Trial1,57,b3_305_n_d,pcc
Trial1,58,b3_305_s_y,pcc
Trial1,59,b3_306_n_d,xa
Trial1,60,b3_306_s_y,xa
Trial1,61,b3_307_n_d,a
Trial1,62,b3_307_s_y,a
Trial1,63,b3_308_n_d,xapmix
Trial1,64,b3_308_s_y,xapmix
Trial1,65,b3_309_n_d,xacc
Trial1,66,b3_309_s_y,xacc
Trial1,67,b3_310_n_d,apmix
Trial1,68,b3_310_s_y,apmix
Trial1,69,b3_311_n_d,p
Trial1,70,b3_311_s_y,p
Trial1,71,b3_312_n_d,xaprows
Trial1,72,b3_312_s_y,xaprows
Trial1,73,b4_401_n_d,xaprows
Trial1,74,b4_401_s_y,xaprows
Trial1,75,b4_402_n_d,apmix
Trial1,76,b4_402_s_y,apmix
Trial1,77,b4_403_n_d,xacc
Trial1,78,b4_403_s_y,xacc
Trial1,79,b4_404_n_d,acc
Trial1,80,b4_404_s_y,acc
Trial1,81,b4_405_n_d,p
Trial1,82,b4_405_s_y,p
Trial1,83,b4_406_n_d,xpcc
Trial1,84,b4_406_s_y,xpcc
Trial1,85,b4_407_n_d,xa
Trial1,86,b4_407_s_y,xa
Trial1,87,b4_408_n_d,pcc
Trial1,88,b4_408_s_y,pcc
Trial1,89,b4_409_n_d,xp
Trial1,90,b4_409_s_y,xp
Trial1,91,b4_410_n_d,aprows
Trial1,92,b4_410_s_y,aprows
Trial1,93,b4_411_n_d,xapmix
Trial1,94,b4_411_s_y,xapmix
Trial1,95,b4_412_n_d,a
Trial1,96,b4_412_s_y,a
